case_id,t_best_dt1,T_dt1,soc_dt1,score_dt1,t_best_dt0.5,T_dt0.5,soc_dt0.5,score_dt0.5,t_best_dt0.25,T_dt0.25,soc_dt0.25,score_dt0.25,t_best_dt0.125,T_dt0.125,soc_dt0.125,score_dt0.125,dT_1.0,dT_0.5,dT_0.25,dSoc_1.0,dSoc_0.5,dSoc_0.25,dt_1.0,dt_0.5,dt_0.25,dscore_1.0,dscore_0.5,dscore_0.25
65531,1401.5000,20.000216,12.402348,44.069697,1401.4000,20.000369,12.401227,44.062110,1401.3000,20.000928,12.400427,44.059112,1401.3000,20.000725,12.400266,44.058527,0.000508481,0.000355562,0.000202891,0.00208176,0.000960919,0.000160729,0.2,0.1,0,0.0111701,0.00358286,0.000585124
27911,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
21824,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
7282,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
55895,816.7000,20.000956,15.780479,49.373277,816.7000,20.000092,15.779946,49.374380,816.6000,20.000632,15.779211,49.375029,816.6000,20.000416,15.779077,49.375232,0.000539967,0.000323821,0.000215979,0.00140166,0.000868863,0.000133292,0.1,0.1,0,0.00195547,0.000852722,0.000203085
3903,227.6000,20.000318,16.400275,50.000000,227.5000,20.000365,16.399178,50.000000,227.4000,20.000855,16.398399,50.000000,227.4000,20.000633,16.398240,50.000000,0.000315676,0.000268477,0.000221409,0.00203516,0.000938197,0.00015906,0.2,0.1,0,0,0,0
57998,802.9000,20.000155,14.687157,47.907561,802.8000,20.000279,14.686091,47.909069,802.7000,20.000825,14.685324,47.909564,802.7000,20.000615,14.685175,47.909581,0.000460054,0.000335245,0.000210662,0.00198189,0.000916393,0.000149366,0.2,0.1,0,0.00201995,0.000511626,1.68788e-05
9822,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
17466,0.0000,21.387289,12.523625,30.000000,0.0000,21.386417,12.522697,30.000000,0.0000,21.385982,12.522233,30.000000,0.0000,21.385764,12.522001,30.000000,0.00152523,0.000653678,0.000217904,0.00162416,0.000696307,0.000232149,0,0,0,0,0,0
28515,1073.6000,20.000606,13.029222,45.150746,1073.5000,20.000822,13.028143,45.145856,1073.5000,20.000422,13.027844,45.141603,1073.5000,20.000222,13.027694,45.141276,0.000383844,0.000600026,0.000200013,0.00152739,0.000448717,0.000149595,0.1,0,0,0.00946961,0.00458017,0.000326716
31767,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
17727,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
48351,198.3000,22.831642,10.000302,30.000000,198.5000,22.828972,10.000240,30.000000,198.6000,22.827637,10.000208,30.000000,198.7000,22.826522,10.000431,30.000000,0.00511945,0.0024498,0.00111483,0.000129165,0.000191665,0.000223134,0.4,0.2,0.1,0,0,0
57222,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
20692,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
32082,126.3000,22.427193,10.000053,30.000000,126.6000,22.423668,10.000345,30.000000,126.7000,22.422352,10.000252,30.000000,126.8000,22.421247,10.000444,30.000000,0.0059457,0.00242065,0.0011046,0.000390998,9.9027e-05,0.00019222,0.5,0.2,0.1,0,0,0
744,800.3000,22.865198,10.000380,30.000000,800.4000,22.863413,10.000089,30.000000,800.5000,22.862056,10.000187,30.000000,800.6000,22.860911,10.000480,30.000000,0.00428697,0.00250241,0.00114453,0.000100053,0.000391523,0.000293233,0.3,0.2,0.1,0,0,0
52585,50.5000,20.000406,18.749787,50.000000,50.4000,20.000477,18.748689,50.000000,50.4000,20.000050,18.748368,50.000000,50.3000,20.000760,18.747750,50.000000,0.000353652,0.000283158,0.000709218,0.0020362,0.000938206,0.000617553,0.2,0.1,0.1,0,0,0
31438,395.9000,20.000705,17.021412,50.000000,395.8000,20.000775,17.020327,50.000000,395.8000,20.000342,17.020015,50.000000,395.8000,20.000126,17.019860,50.000000,0.000578814,0.000649548,0.000216534,0.00155202,0.00046701,0.00015572,0.1,0,0,0,0,0
38957,836.9000,20.000900,12.693473,45.573533,836.9000,20.000110,12.692751,45.574640,836.8000,20.000680,12.691914,45.575373,836.8000,20.000482,12.691733,45.577197,0.000417607,0.000372745,0.000197612,0.00173988,0.00101814,0.000180644,0.1,0.1,0,0.00366434,0.0025574,0.00182463
794,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,0.0000,0.000000,0.000000,0.000000,,,,,,,,,,,,
45187,377.6000,20.000794,19.993234,50.000000,377.5000,20.000875,19.992299,50.000000,377.5000,20.000448,19.992059,50.000000,377.5000,20.000234,19.991940,50.000000,0.000559836,0.000641238,0.000213747,0.00129422,0.000359024,0.000119691,0.1,0,0,0,0,0
567,1015.0000,20.000862,15.987635,49.443494,1015.0000,20.000013,15.987144,49.444678,1014.9000,20.000569,15.986430,49.445074,1014.9000,20.000357,15.986307,49.445565,0.000505215,0.00034369,0.000212348,0.0013283,0.000837205,0.000122902,0.1,0.1,0,0.00207082,0.000887538,0.00049131
65455,1128.1000,20.258540,10.000028,30.000000,1128.3000,20.255712,10.000277,30.000000,1128.4000,20.254299,10.000402,30.000000,1128.4000,20.254096,10.000219,30.000000,0.00444373,0.00161642,0.000202842,0.000191039,5.79002e-05,0.000182321,0.3,0.1,0,0,0,0
63195,1034.8000,20.000176,15.980332,49.322734,1034.7000,20.000363,15.979374,49.324106,1034.6000,20.000958,15.978657,49.324633,1034.6000,20.000755,15.978537,49.325216,0.000579173,0.000391342,0.00020359,0.00179595,0.00083773,0.000120758,0.2,0.1,0,0.00248134,0.00110973,0.000582986
